#{"t_start": 1650644981.00557, "env_id": "HCWithPos-v0"}
reward,reward_nc,len,time,constraint
961.91,103.33,1000,1.17,1
934.77,293.48,1000,1.16,1
967.92,149.12,1000,1.16,1
956.31,437.11,1000,1.16,1
935.29,83.35,1000,1.16,1
965.45,118.66,1000,1.17,1
909.42,909.42,1000,1.16,0
994.57,369.6,1000,1.16,1
929.83,155.28,1000,1.16,1
968.53,287.23,1000,1.16,1
1154.21,889.43,1000,1.39,1
1253.87,262.74,1000,1.39,1
1043.45,447.39,1000,1.39,1
1097.43,317.61,1000,1.39,1
1113.35,283.5,1000,1.39,1
984.73,183.48,1000,1.39,1
1183.98,976.53,1000,1.39,1
1196.4,225.21,1000,1.39,1
1172.13,1010.3,1000,1.39,1
1163.99,157.3,1000,1.39,1
1114.33,1063.81,1000,1.39,1
1212.24,1212.24,1000,1.39,0
1143.28,1143.28,1000,1.39,0
1034.5,437.92,1000,1.39,1
1247.29,1247.29,1000,1.39,0
1226.38,1226.38,1000,1.39,0
1090.4,1090.4,1000,1.39,0
1116.34,1116.34,1000,1.39,0
1176.54,1176.54,1000,1.39,0
1217.66,1217.66,1000,1.39,0
1451.32,1451.32,1000,1.18,0
1499.23,1499.23,1000,1.18,0
1277.15,1277.15,1000,1.18,0
1435.9,1435.9,1000,1.18,0
1441.41,1441.41,1000,1.18,0
1329.69,1329.69,1000,1.18,0
1319.34,1319.34,1000,1.18,0
1301.52,1301.52,1000,1.18,0
1267.19,1267.19,1000,1.18,0
1402.53,1402.53,1000,1.18,0
1215.67,1215.67,1000,1.17,0
1749.07,1749.07,1000,1.17,0
1766.42,1766.42,1000,1.17,0
1368.24,1368.24,1000,1.17,0
1717.31,1717.31,1000,1.17,0
1692.16,1692.16,1000,1.17,0
1453.26,1453.26,1000,1.17,0
1770.86,1770.86,1000,1.17,0
1792.49,1792.49,1000,1.17,0
1499.85,1499.85,1000,1.17,0
1665.31,1665.31,1000,1.17,0
1985.75,1985.75,1000,1.17,0
1925.22,1925.22,1000,1.17,0
1984.49,1984.49,1000,1.17,0
1441.42,1441.42,1000,1.17,0
1839.41,1839.41,1000,1.17,0
1741.57,1741.57,1000,1.17,0
1876.77,1876.77,1000,1.17,0
1957.52,1957.52,1000,1.17,0
1813.36,1813.36,1000,1.17,0
965.82,613.6,1000,1.72,1
2516.31,2516.31,1000,1.82,0
2644.17,2644.17,1000,1.66,0
2420.08,2420.08,1000,1.17,0
2353.35,2353.35,1000,1.17,0
2381.68,2381.68,1000,1.17,0
2432.44,2432.44,1000,1.17,0
2596.64,2596.64,1000,1.17,0
2401.05,2401.05,1000,1.17,0
2402.73,2402.73,1000,1.17,0
3060.49,3060.49,1000,1.39,0
2908.67,2908.67,1000,1.39,0
2946.72,2946.72,1000,1.39,0
3097.23,3097.23,1000,1.39,0
3022.11,3022.11,1000,1.39,0
3084.08,3084.08,1000,1.39,0
3027.5,3027.5,1000,1.39,0
3102.7,3102.7,1000,1.39,0
1421.61,1421.61,1000,1.4,0
3066.62,3066.62,1000,1.39,0
3178.07,3178.07,1000,1.17,0
3208.8,3208.8,1000,1.17,0
3243.92,3243.92,1000,1.17,0
3090.52,3090.52,1000,1.17,0
3086.06,3086.06,1000,1.17,0
2986.83,2986.83,1000,1.17,0
3150.17,3150.17,1000,1.16,0
3259.02,3259.02,1000,1.17,0
3271.99,3271.99,1000,1.17,0
3246.1,3246.1,1000,1.17,0
3681.67,3681.67,1000,1.39,0
3491.72,3491.72,1000,1.39,0
3770.64,3770.64,1000,1.39,0
3577.6,3577.6,1000,1.39,0
3440.62,3440.62,1000,1.39,0
3679.6,3679.6,1000,1.39,0
3592.34,3592.34,1000,1.39,0
3573.09,3573.09,1000,1.39,0
3728.24,3728.24,1000,1.39,0
3414.72,3414.72,1000,1.39,0
4001.12,4001.12,1000,1.39,0
3962.77,3962.77,1000,1.39,0
3798.22,3798.22,1000,1.39,0
3989.99,3989.99,1000,1.39,0
1320.91,1320.91,1000,1.4,0
3863.63,3863.63,1000,1.39,0
3954.59,3954.59,1000,1.39,0
4247.88,4247.88,1000,1.39,0
1093.89,1093.89,1000,1.4,0
4016.45,4016.45,1000,1.39,0
4065.23,4065.23,1000,1.17,0
4337.47,4337.47,1000,1.17,0
2772.4,2772.4,1000,1.17,0
4270.5,4270.5,1000,1.17,0
4036.78,4036.78,1000,1.17,0
4148.86,4148.86,1000,1.17,0
4182.21,4182.21,1000,1.17,0
4259.48,4259.48,1000,1.17,0
4327.35,4327.35,1000,1.17,0
4213.05,4213.05,1000,1.17,0
4382.48,4382.48,1000,1.17,0
4196.88,4196.88,1000,1.16,0
4574.86,4574.86,1000,1.17,0
4575.32,4575.32,1000,1.16,0
1636.23,1636.23,1000,1.17,0
4391.5,4391.5,1000,1.16,0
3999.68,3999.68,1000,1.16,0
4660.35,4660.35,1000,1.16,0
4544.55,4544.55,1000,1.17,0
4503.03,4503.03,1000,1.16,0
4672.76,4672.76,1000,1.39,0
4717.79,4717.79,1000,1.39,0
4655.96,4655.96,1000,1.38,0
4708.74,4708.74,1000,1.38,0
4490.58,4490.58,1000,1.38,0
4512.23,4512.23,1000,1.39,0
4700.45,4700.45,1000,1.38,0
4311.8,4311.8,1000,1.38,0
4429.25,4429.25,1000,1.38,0
4377.48,4377.48,1000,1.38,0
4824.16,4824.16,1000,1.39,0
4687.54,4687.54,1000,1.39,0
1546.76,1546.76,1000,1.4,0
4765.97,4765.97,1000,1.39,0
4698.67,4698.67,1000,1.39,0
4264.46,4264.46,1000,1.39,0
4771.38,4771.38,1000,1.39,0
4591.74,4591.74,1000,1.39,0
1591.52,1591.52,1000,1.39,0
4841.43,4841.43,1000,1.39,0
4744.08,4744.08,1000,1.39,0
4992.32,4992.32,1000,1.39,0
4871.07,4871.07,1000,1.39,0
4845.3,4845.3,1000,1.39,0
4937.73,4937.73,1000,1.39,0
4764.88,4764.88,1000,1.39,0
4829.38,4829.38,1000,1.39,0
4842.67,4842.67,1000,1.39,0
4618.62,4618.62,1000,1.39,0
2079.53,2079.53,1000,1.4,0
943.81,920.12,1000,1.17,1
4851.76,4851.76,1000,1.16,0
4019.38,4019.38,1000,1.16,0
4948.39,4948.39,1000,1.16,0
4884.13,4884.13,1000,1.16,0
5113.56,5113.56,1000,1.16,0
5199.56,5199.56,1000,1.16,0
5033.12,5033.12,1000,1.16,0
3836.27,3836.27,1000,1.17,0
4905.58,4905.58,1000,1.16,0
5164.68,5164.68,1000,1.39,0
5256.58,5256.58,1000,1.39,0
5395.73,5395.73,1000,1.39,0
4168.58,4168.58,1000,1.39,0
5342.04,5342.04,1000,1.39,0
1790.24,1790.24,1000,1.4,0
5379.25,5379.25,1000,1.39,0
5303.32,5303.32,1000,1.39,0
5329.75,5329.75,1000,1.39,0
5190.12,5190.12,1000,1.39,0
5344.5,5344.5,1000,1.17,0
5389.7,5389.7,1000,1.17,0
5171.51,5171.51,1000,1.16,0
4799.4,4799.4,1000,1.17,0
5511.52,5511.52,1000,1.16,0
5026.47,5026.47,1000,1.16,0
5304.18,5304.18,1000,1.16,0
3467.65,3467.65,1000,1.17,0
5253.0,5253.0,1000,1.16,0
1488.95,1488.95,1000,1.17,0
5194.54,5194.54,1000,1.17,0
1884.07,1884.07,1000,1.17,0
4653.77,4653.77,1000,1.17,0
1892.63,1892.63,1000,1.17,0
5562.85,5562.85,1000,1.17,0
4362.15,4362.15,1000,1.17,0
1992.84,1992.84,1000,1.17,0
5322.92,5322.92,1000,1.17,0
4377.98,4377.98,1000,1.17,0
1170.56,1034.3,1000,1.17,1
5493.65,5493.65,1000,1.17,0
3018.09,3018.09,1000,1.17,0
3972.7,3972.7,1000,1.17,0
5215.06,5215.06,1000,1.16,0
1838.74,1838.74,1000,1.17,0
2439.76,2439.76,1000,1.17,0
4527.4,4527.4,1000,1.17,0
4563.26,4563.26,1000,1.17,0
5496.78,5496.78,1000,1.16,0
5537.52,5537.52,1000,1.17,0
4651.46,4651.46,1000,1.39,0
5526.45,5526.45,1000,1.39,0
2643.85,2643.85,1000,1.39,0
5626.92,5626.92,1000,1.39,0
5427.7,5427.7,1000,1.39,0
3371.34,3371.34,1000,1.39,0
5423.99,5423.99,1000,1.39,0
2715.26,2715.26,1000,1.39,0
3894.25,3894.25,1000,1.39,0
4256.82,4256.82,1000,1.39,0
944.01,944.01,1000,1.17,0
2891.24,2891.24,1000,1.17,0
1319.64,1319.64,1000,1.17,0
1395.85,1395.85,1000,1.17,0
5311.95,5311.95,1000,1.16,0
5448.83,5448.83,1000,1.16,0
3274.83,3274.83,1000,1.17,0
5488.59,5488.59,1000,1.16,0
5252.82,5252.82,1000,1.27,0
3504.64,3504.64,1000,1.81,0
5331.38,5331.38,1000,1.39,0
1898.61,1898.61,1000,1.39,0
2406.44,2406.44,1000,1.39,0
4116.49,4116.49,1000,1.39,0
3882.78,3882.78,1000,1.39,0
5459.82,5459.82,1000,1.39,0
3456.08,3456.08,1000,1.39,0
4918.19,4918.19,1000,1.39,0
805.2,805.2,1000,1.4,0
5400.07,5400.07,1000,1.39,0
5498.02,5498.02,1000,1.17,0
5398.16,5398.16,1000,1.16,0
5518.83,5518.83,1000,1.16,0
5386.7,5386.7,1000,1.16,0
5277.47,5277.47,1000,1.16,0
5271.74,5271.74,1000,1.16,0
5608.94,5608.94,1000,1.16,0
5328.47,5328.47,1000,1.16,0
5349.26,5349.26,1000,1.16,0
5044.43,5044.43,1000,1.16,0
1667.67,1667.67,1000,1.4,0
1409.98,1409.98,1000,1.4,0
5383.83,5383.83,1000,1.39,0
3244.9,3244.9,1000,1.39,0
5494.05,5494.05,1000,1.39,0
5264.38,5264.38,1000,1.39,0
5553.92,5553.92,1000,1.39,0
3729.61,3729.61,1000,1.39,0
1681.97,1681.97,1000,1.39,0
1471.11,1471.11,1000,1.39,0
5176.11,5176.11,1000,1.39,0
5588.71,5588.71,1000,1.39,0
5367.06,5367.06,1000,1.39,0
478.15,478.15,1000,1.41,0
5320.27,5320.27,1000,1.39,0
5226.34,5226.34,1000,1.39,0
5275.63,5275.63,1000,1.39,0
3302.69,3302.69,1000,1.39,0
5487.59,5487.59,1000,1.39,0
5408.8,5408.8,1000,1.39,0
5249.14,5249.14,1000,1.17,0
5459.99,5459.99,1000,1.17,0
1756.06,1756.06,1000,1.18,0
5440.17,5440.17,1000,1.17,0
4485.32,4485.32,1000,1.17,0
5647.97,5647.97,1000,1.17,0
2046.79,2046.79,1000,1.18,0
4273.33,4273.33,1000,1.17,0
5455.61,5455.61,1000,1.17,0
5489.8,5489.8,1000,1.17,0
5670.26,5670.26,1000,1.17,0
5816.44,5816.44,1000,1.17,0
5660.31,5660.31,1000,1.17,0
1106.84,1106.84,1000,1.18,0
2394.41,2394.41,1000,1.17,0
5598.9,5598.9,1000,1.17,0
5841.4,5841.4,1000,1.17,0
5488.83,5488.83,1000,1.17,0
5897.92,5897.92,1000,1.17,0
5573.56,5573.56,1000,1.61,0
5649.52,5649.52,1000,1.17,0
5639.7,5639.7,1000,1.17,0
5588.57,5588.57,1000,1.17,0
3756.83,3756.83,1000,1.17,0
5801.38,5801.38,1000,1.17,0
5642.08,5642.08,1000,1.17,0
550.77,550.77,1000,1.18,0
5648.38,5648.38,1000,1.17,0
5420.54,5420.54,1000,1.17,0
5634.59,5634.59,1000,1.17,0
